|id|entry|cnt_words|pronounce|syllabary|english|
|---|---|---|---|---|---|
|73,326|ᎯᎠ|2|Hia digweji.|ᎯᎠ ᏗᏇᏥ.|These are my children.|
|72,927|ᏙᏱ|2|Doyi dagalohi.|ᏙᏱ ᏓᎦᎶᎯ.|He came from outside.|
|73,116|ᎦᏁᎵ|2|Ganelis sdalii?|ᎦᏁᎵᏍ ᏍᏓᎵᎢ?|Is your friend married?|
|73,242|ᎪᎵᎦ|2|Gohlgas Jalagi?|ᎪᎵᎦᏍ ᏣᎳᎩ?|Does he understand Cherokee?|
|72,956|ᎡᎦ|2|Ina gega.|ᎢᎾ ᎨᎦ.|I am going far away.|
|73,244|ᎪᏢᏅᎢ|2|Gohlvhnv eksdela.|ᎪᏢᏅ ᎡᏍᎩᏍᏕᎳ|Pass me some butter.|
|73,806|ᎤᎿ|2|Uhnas tesi?|ᎤᎿᏍ ᏖᏏ?|Are you going there?|
|72,674|ᎠᏟ|2|Kilo dvtli.|ᎩᎶ ᏛᏟ.|Someone is running in this direction.|
|73,079|ᎦᎶᏍᎦ|2|Ale nulosvi.|ᎠᎴ ᏄᎶᏒᎢ.|He almost fell.|
|73,338|ᏞᎦ|2|Ehena hlega.|ᎡᎮᎾ ᏞᎦ.|Come here a while.|
|74,042|ᏩᏒᏓᏃᎢ|2|Jedolvis Wasvdanoi?|ᏤᏙᎸᎢᏍ ᏩᏒᏓᏃᎢ?|Have you been to Washington?|
|73,602|ᎣᏂ|2|Ohni uluhjvi.|ᎣᏂ ᎤᎷᏨᎢ.|He came afterwards.|
|72,817|ᏓᏲᏍᎦ|2|Tiyohi jisdu.|ᏘᏲᎯ ᏥᏍᏚ.|Let the rabbit go.|
|73,752|ᎤᏟ|2|Udli hwilohi.|ᎤᏟ ᏫᎶᎯ.|Go away.|
|72,635|ᎠᏑᎠ|2|Asusdi gasua.|ᎠᏑᏍᏗ ᎦᏑᎠ.|I am sopping gravy.|
|72,698|ᎠᏯᏄᎵ|2|Ayanuli aisvi.|ᎠᏯᏄᎵ ᎠᎢᏒᎢ.|He was walking fast.|
|73,614|ᎣᏏᏲ|2|Osiyo. Tohiju?|ᎣᏏᏲ. ᏙᎯᏧ?|Hello. Are you well?|
|73,949|ᎤᏔᏕᎩᎠ|2|Ama aktadegia.|ᎠᎹ ᎠᎩᏔᏕᎩᎠ.|I am thirsty for water.|
|72,558|ᎠᏂᎾ|2|Ehlawe aninvi.|ᎡᏝᏪ ᎠᏂᏅᎢ.|They sat quietly.|
|73,340|ᏞᏍᏗ|2|Hlesdi yijanegujesdi.|ᏞᏍᏗ ᏱᏣᏁᎫᏤᏍᏗ.|Don't be mean.|
|73,273|ᎫᎫᎢ|2|Jedolvis Gugu?|ᏤᏙᎸᎢᏍ ᎫᎫ?|Have you been to Bartlesville?|
|73,158|ᎦᏄᎸ|2|Ganulv agalsga.|ᎦᏄᎸ ᎠᎦᎵᏍᎦ.|He is mowing the grass.|
|74,037|ᏩᎶᏏ|2|Walosi naniwea.|ᏩᎶᏏ ᎾᏂᏪᎠ.|The frogs are croaking.|
|74,044|ᏪᏌ|2|Wesas higowhti?|ᏪᏌᏍ ᎯᎪᏩᏘ?|Did you see a cat?|
|73,769|ᎤᏚᎭ|2|Amayi agwaduha.|ᎠᎹᏱ ᎠᏆᏚᎭ.|I am standing in the water.|
|73,799|ᎤᎯᏌᏔ|2|Gadohi uhisata.|ᎦᏙᎯ ᎤᎯᏌᏔ.|There's dew on the ground|
|72,329|ᎠᎪᏩᏘᎭ|2|Hlas hyigowhti?|ᏝᏍ ᏱᎪᏩᏘ?|Don't you see it?|
|73,259|ᎪᎳ|2|Jalvkwdis gola?|ᏣᎸᏉᏗᏍ ᎪᎳ?|Do you like winter?|
|73,330|Ꮭ|2|Jayosihas? Hla.|ᏣᏲᏏᎭᏍ? Ꮭ.|Are you hungry? No.|
|72,500|ᎠᎵᏟᎭ|2|Kahwi alidliha.|ᎧᏫ ᎠᎵᏟᎭ.|The coffee is boiling.|
|72,632|ᎠᏐᏅᏍᏗᎭ|2|Sdaya hasonsda.|ᏍᏓᏯ ᎭᏐᏅᏍᏓ.|Press down on it hard.|
|72,693|ᎠᏛᏍᎦ|2|Udohiyu atvsga.|ᎤᏙᎯᏳ ᎠᏛᏍᎦ.|He is really growing.|
|72,325|ᎠᎪᎾ|2|Agonas jalosvhi?|ᎠᎪᎾᏍ ᏣᎶᏒᎯ?|Have you gone through famine?|
|73,413|ᏥᏳᎪᏗ|2|Jiyukdi hwilohi.|ᏥᏳᎪᏗ ᏫᎶᎯ.|Go straight ahead.|
|73,494|ᎧᏃᎯᏯᎭ|2|Aseis hinohiyei?|ᎠᏎᎢᏍ ᎯᏃᎯᏰᎢ?|Did you omit him on purpose?|
|74,006|ᎤᏰᏘᏍᎦ|2|Gado jijayetsga?|ᎦᏙ ᏥᏣᏰᏘᏍᎦ?|Why are you laughing?|
|73,877|ᎤᎵᏰᏗᎭ|2|Gado juliyediha?|ᎦᏙ ᏧᎵᏰᏗᎭ?|Why is he moaning?|
|73,818|ᎤᏂᎭ|2|Gayulas jahniha?|ᎦᏳᎳᏍ ᏣᏂᎭ?|Are you already in bed?|
|73,743|ᎤᏗᏍᎦᏝ|2|Hadlv udisgahla?|ᎭᏢ ᎤᏗᏍᎦᏝ?|Where is he hiding?|
|73,091|ᎦᎸᎶᎢ|2|Galvlo sakonigei.|ᎦᎸᎶ ᏌᎪᏂᎨᎢ.|The Sky is blue.|
|73,232|ᎩᏄᏘᏗ|2|Ginutdi ksdolsda.|ᎩᏄᏘᏗ ᏍᎩᏙᎵᏍᏓ.|Lend me a quarter.|
|73,613|ᎣᏏᏊ|2|Osigwus jadanhta?|ᎣᏏᏊᏍ ᏣᏓᏅᏔ?|Do you feel all right?|
|73,832|ᎤᏴᏜ|2|Uhyvdlas hihnegi?|ᎤᏴᏜᏍ ᎯᏁᎩ?|Do you vote Republican?|
|73,852|ᎤᏦᏍᏗ|2|Ujosdi duwohwela.|ᎤᏦᏍᏗ ᏚᏬᏪᎳ.|His handwriting is confusing.|
|73,987|ᎤᏪᎳ|2|Uwela gvhnisdiha.|ᎤᏪᎳ ᎬᏂᏍᏗᎭ.|She's cooking liver.|
|74,013|ᎥᏓᎵ|2|Vdali inasuhnuga.|ᎥᏓᎵ ᎢᎾᏑᏄᎦ.|Let's go fishing at the pond.|
|72,254|ᎠᏕᏲᎭ|2|Adanelv gadeyoha.|ᎠᏓᏁᎸ ᎦᏕᏲᎭ.|I am circling a building.|
|72,609|ᎠᏍᎪᏍᎦ|2|Amahldi gasgosga.|ᎠᎹᏢᏗ ᎦᏍᎪᏍᎦ.|I am digging a water well.|
|72,431|ᎠᏤᎸᏍᎦ|2|Ayvwiya ajelvsga.|ᎠᏴᏫᏯ ᎠᏤᎸᏍᎦ.|He is acting like an Indian.|
|72,636|ᎠᏑᎲᏍᎦ|2|Hadlvyv asuhvsga?|ᎭᏢᏴ ᎠᏑᎲᏍᎦ?|Where is he fishing?|
|73,142|ᎦᏃᎯᎵ|2|Jiyu ganohilvsda.|ᏥᏳ ᎦᏃᎯᎸᏍᏓ.|An airplane just flew by.|
|72,400|ᎠᏯᎨᏗᏍᎦ|2|Nuna tihyahketsa.|ᏄᎾ ᏘᏯᎨᏗᏌ.|Peel some potatoes.|
|72,196|ᎠᏓᎨᏳᏗ|2|Adageyhdi ulsgeda.|ᎠᏓᎨᏴᏗ ᎤᎵᏍᎨᏓ.|Love is important.|
|72,362|ᎠᏟᎶᏍᏗ|2|Ahlilosdi esgidisi|ᎠᏟᎶᏍᏗ ᎡᏍᎩᏗᏏ|Hand me a ruler.|
|72,516|ᎠᎵᏌᎳᏗᎠ|2|Halsaladvga hlega.|ᎭᎵᏌᎳᏛᎦ ᏞᎦ.|Raise up awhile.|
|72,507|ᎠᎵᎢᏗᎠ|2|Inaliida hayelsdi.|ᎢᎾᎵᎢᏓ ᎭᏰᎵᏍᏗ.|Let's trade knives.|
|73,397|ᏣᎳᎩ|2|Jalagis hiwonisgi?|ᏣᎳᎩᏍ ᎯᏬᏂᏍᎩ?|Do you speak Cherokee?|
|73,801|ᎤᎯᏐᏗ|2|Uhisohdv uhnelada.|ᎤᎯᏐᏛ ᎤᏁᎳᏓ.|It was lonesome when she left.|
|73,854|ᎤᎧᏲᏛᎢ|2|Ukahyodv haisesdi.|ᎤᎧᏲᏛ ᎭᎢᏎᏍᏗ.|Walk on a dry place.|
|73,913|ᎤᏂᏏ|2|Unisi utvhistanvi.|ᎤᏂᏏ ᎤᏛᎯᏍᏔᏅᎢ.|His grandfather raised him.|
|74,056|ᏯᏂᏌ|2|Yansa unatsvhnidi.|ᏯᏂᏌ ᎤᎾᏨᏂᏗ.|The buffalo is almost extinct.|
|72,429|ᎠᏣᎥᏍᎦ|2|Dagwalelu hajavga.|ᏓᏆᎴᎷ ᎭᏣᎥᎦ.|Get in the car|
|74,035|ᏩᎦᏘ|2|Digaduhv wijigati.|ᏗᎦᏚᎲ ᏫᏥᎦᏘ.|I'm heading for town.|
|73,571|ᏄᏓᏅᏛᎾ|2|Doyu nijadanhtvna.|ᏙᏳ ᏂᏣᏓᏅᏛᎾ.|You are really crazy.|
|72,565|ᎠᏌᎳᏗᎠ|2|Jolani hisaladvga.|ᏦᎳᏂ ᎯᏌᎳᏛᎦ.|Raise the window.|
|73,793|ᎤᎬᏫᏳᎯ|2|Jolhgis Ugvwiyuhi?|ᏦᎵᎩᏍ ᎤᎬᏫᏳᎯ?|Does the chief know you?|
|72,751|ᏓᏟᎶᏍᏗᎭ|2|Yona duhlilostanvi|ᏲᎾ ᏚᏟᎶᏍᏔᏅᎢ?|He drew a picture of a bear.|
|72,542|ᎠᎹᏱ|2|Amayi witahltaduga.|ᎠᎹᏱ ᏫᏔᎵᏔᏚᎦ.|Jump into the water.|
|72,687|ᎠᏚᎩᏍᏗ|2|Atugisdi unehnelvi.|ᎠᏚᎩᏍᏗ ᎤᏁᏁᎸᎢ.|He gave him a drink.|
|72,668|ᎠᏖᎵᏙ|2|Ditelido degvdiyea.|ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.|She is washing dishes.|
|72,740|ᏓᏓᏂᎸᎦ|2|Dodvdanilvjis heli?|ᏚᏛᏓᏂᎸᏥᏍ ᎮᎵ?|Do you think he is going to accept?|
|72,949|ᏚᏳᎪᏛᎢ|2|Duyukdv gvnohiseha.|ᏚᏳᎪᏛ ᎬᏃᎯᏎᎭ.|I am telling you the truth.|
|73,069|ᎦᎶᏇ|2|Galogwe ganvgaliha.|ᎦᎶᏇ ᎦᏅᎦᎵᎭ.|He is cleaning a gun.|
|73,090|ᎦᎸᎳᏗᎨᎢ|2|Galvladige hwiloga.|ᎦᎸᎳᏗᎨ ᏫᎶᎦ.|Climb up higher.|
|73,608|ᎣᏏ|2|Osi nagwadvhnadega.|ᎣᏏ ᎾᏆᏛᎿᏕᎦ.|I'm doing fairly well.|
|73,823|ᎤᏅᏏᏴᎢ|2|Uhnvsiyv hwalehvga.|ᎤᏅᏏᏴ ᏩᎴᎲᎦ.|Go stand in the corner.|
|73,860|ᎤᎦᏑᏘ|2|Unaksuti aninayegi.|ᎤᎾᎦᏑᏘ ᎠᏂᎾᏰᎩ.|Diamondback rattlers are dangerous.|
|73,896|ᎤᎾᎳᏍᎦᎵᏗᎢ|2|Unalasgahldi idena.|ᎤᎾᎳᏍᎦᎸᏗ ᎢᏕᎾ.|Let's go to the ball field.|
|73,813|ᎤᎿᏑᎦ|2|Unihnasuga degadea.|ᎤᏂᎿᏑᎦ ᏕᎦᏕᎠ.|She's picking some possum grapes.|
|73,935|ᎤᏍᏉᏟᎢ|2|Usgwohli asgoliyea.|ᎤᏍᏉᏟ ᎠᏍᎪᎵᏰᎠ.|He's rubbing his stomach.|
|72,905|ᏗᏎᏍᏗ|2|Dehiktahas disesdi?|ᏕᎯᎦᏔᎭᏍ ᏗᏎᏍᏗ?|Do you know your numbers?|
|73,121|ᎦᏅᎦ|2|Eladigwu jinvgesdi.|ᎡᎳᏗᏊ ᏥᏅᎨᏍᏗ.|I'll just lie on the floor.|
|72,583|ᎠᏍᏛᎭᏢᏍᎦ|2|Gadui usdvhahlanvi.|ᎦᏚᎢ ᎤᏍᏛᎭᏝᏅᎢ.|He sandwiched it between the bread.|
|72,421|ᎠᏴᏍᏕᎷᎲᏍᎦ|2|Gago uhyvsdeluhnei?|ᎦᎪ ᎤᏴᏍᏕᎷᏁᎢ?|Who hit him on the nose?|
|73,102|ᎦᏁᏟᏴᎠ|2|Gagwatv jinedliyva.|ᎦᏆᏛ ᏥᏁᏟᏴᎠ.|I am changing the wheel.|
|72,283|ᎠᏠᏱᎭ|2|Hlesdi jadlohyilvi.|ᏞᏍᏗ ᏣᏠᏱᎸᎢ.|Don't cry.|
|72,826|ᏕᎫᎪᏗᎭ|2|Uhlisdi duwuktanvi.|ᎤᏟᏍᏗ ᏚᏭᎪᏔᏅᎢ.|He decided too quickly.|
|72,540|ᎠᎹᏢᏙᏗ|2|Amahldohdi hikalija.|ᎠᎹᏢᏙᏗ ᎯᎧᎵᏣ.|Fill the water bucket.|
|72,779|ᏓᏈᏌᏂ|2|Dakwsani dijalvkwdi?|ᏓᏈᏌᏂᏍ ᏗᏣᎸᏉᏗ?|Do you like turnips?|
|73,071|ᎦᎶᎯᏍᏗᎢ|2|Galohisdi wuktvlesv.|ᎦᎶᎯᏍᏗ ᏭᎦᏛᎴᏒ.|He went through the doorway.|
|73,405|ᏥᏍᏛᎾ|2|Jisdvna digihyaluga.|ᏥᏍᏛᎾ ᏗᎩᏯᎷᎦ.|Let's go hunt crawdads.|
|73,521|ᎩᎳᏊ|2|Kilagwu widadiluhji.|ᎩᎳᏊ ᏫᏓᏗᎷᏥ.|We'll get there pretty soon.|
|73,751|ᎤᏞᎦ|2|Udelejv ajilonuehla.|ᎤᏞᏨ ᎠᏥᎶᏄᎡᏝ.|He took revenge when he was cheated.|
|72,797|ᏓᎾᎦᎴᏂᎭ|2|Gadohv dunagalenvhe?|ᎦᏙᎲ ᏚᎾᎦᎴᏅᎮᎢ?|Why did they separate?|
|72,240|ᎠᏓᏬᎠ|2|Jalvkwdis jadawosdi?|ᏣᎸᏉᏗᏍ ᏣᏓᏬᏍᏗ?|Do you like to swim?|
|73,855|ᎤᎧᏛᎯ|2|Udihlehgigwu ukatvi.|ᎤᏗᎴᎩᏊ ᎤᎧᏛᎢ.|His face is just hot.|
|73,903|ᎤᏁᎦᎸᎢ|2|Ugohnvigwu unegalvi.|ᎤᎪᏅᎢᏊ ᎤᏁᎦᎸᎢ.|His skin is just burned|
|73,027|ᎦᎵᏦᏕ|2|Gahljode daganesgehi.|ᎦᎵᏦᏕ ᏓᎦᏁᏍᎨᎯ.|I am going to build a house.|
